Comment,Designator,Footprint,LCSC
C,C19,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C107115
R,"R11,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C127697
MCP9700AT-ETT,"U22,U23",SOT-23,C127949
SRP7050AA-220M,L2,INDPM5752X300N,C1329558
INA138,"U1,U14,U21,U6,U7,U8",SOT-23-5,C134294
C,"C13,C15,C16,C18,C21,C26,C29,C34,C35,C40,C41,C7,C8",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C13585
C,"C10,C12,C5,C6",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C14663
C,C11,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C14857
R,"R31,R35",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149627
SS36,"D12,D21,D38,D45,D46",SODFL4626X120N,C14996
R,"R13,R18",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C158162
R,"R19,R25,R26,R27,R29,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C158163
R,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C158186
C,"C38,C39",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1710
C,"C24,C32,C33",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1729
R,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17415
R,R16,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17436
R,"R23,R24",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17455
R,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17475
R,"R33,R37",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17501
R,R17,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17506
R,"R12,R43,R7",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513
R,R41,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17514
R,"R32,R36,R4,R40,R42",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17539
R,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560
R,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17575
R,"R15,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17621
R,"R20,R28,R30",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17629
R,"R21,R22",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673
C,"C1,C17",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1790
C,C23,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1818
C,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1834
SRP4020TA-100M,"L10,L6,L8,L9",INDPM4441X200N,C189917
SRP4020TA-100M,L3,INDPM4441X200N,C189929
R,R39,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C26108
C,"C4,C51,C58,C59,C60,C61",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28233
C,"C20,C25,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323
C,"C14,C22,C31,C44,C45",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C307331
TX6211,D20,TX6211,C329278
LM3478MMX_NOPB,IC5,SOP65P490X110-8N,C404045
TFM201610ALC-R47MTAA,"L1,L4,L5,L7",INDC2016X80N,C404807
R,"R34,R38",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C4328
C,"C27,C30,C36,C37,C42,C43",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C440198
C,"C2,C28",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653
TPS40211QDGQRQ1,IC1,SOP50P490X110-11N,C473356
LM5164QDDATQ1,IC2,SOIC127P600X170-9N,C477928
BZT52-C5V1J,"Z1,Z2",D_SOD-323F,C485501
LM3481MM_NOPB,IC3,SOP50P490X110-10N,C543002
MAX998EUT+T,IC6,SOT95P280X145-6N,C60826
R,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C705550
AON7407,"Q1,Q2,Q3,Q4,Q5",DFN_3X3_EP,C719096
LM3488MM,IC4,SOP65P490X110-8N,C80773
Wire_Pad_01,D104,Wire_Hole_1mm,
Mounting_Hole_M2,U3,Hole_screw_M1p2,
+5B,D95,WireHole_1p2,
Wire_Pad_01,D11,Wire_Hole_1mm,
t_LED,D96,WireHole_1p2,
WireHole_1p5,D4,WireHole_1p2,
Gnd,D65,WireHole_1p2,
Wire_Pad_01,D14,Wire_Hole_1mm,
+5B,D62,WireHole_1p2,
Wire_Pad_01,D101,Wire_Hole_1mm,
WireHole_1p5,D2,WireHole_1p2,
Wire_Pad_01,D107,Wire_Hole_1mm,
Wire_Pad_01,D13,Wire_Hole_1mm,
WireHole_1p5,D98,WireHole_1p2,
+5B,D80,WireHole_1p2,
CS_In,D79,Wire_Hole_1mm,
Gnd,D41,WireHole_1p2,
Wire_Pad_01,D102,Wire_Hole_1mm,
WireHole_1p5,D57,WireHole_1p2,
Wire_Pad_01,D39,Wire_Hole_1mm,
t_D,D75,WireHole_1p2,
Gnd,D40,Wire_Hole_1mm,
WireHole_1p5,D37,WireHole_1p2,
WireHole_1p5,D5,WireHole_1p2,
t_Q,D68,WireHole_1p2,
Out,D51,Wire_Hole_1mm,
+5V,D92,WireHole_1p2,
WireHole_1p5,D23,WireHole_1p2,
CS_Out,D71,Wire_Hole_1mm,
WireHole_1p5,D44,WireHole_1p2,
GND,D97,WireHole_1p2,
Flash LED +,D50,WireHole_1p2,
WireHole_1p5,D17,WireHole_1p2,
Gnd,D89,Wire_Hole_1mm,
I,D78,Wire_Hole_1mm,
Mounting_Hole_M2,U27,Hole_screw_M1p2,
Flash LED -,D58,WireHole_1p2,
t_D,D67,WireHole_1p2,
Gnd,D69,WireHole_1p2,
Wire_Pad_01,D8,Wire_Hole_1mm,
Mounting_Hole_M2,U25,Hole_screw_M1p2,
In,D42,WireHole_1p2,
t_D,D81,WireHole_1p2,
Mounting_Hole_M2,U28,Hole_screw_M1p2,
t_D,D85,WireHole_1p2,
t_Q,D82,WireHole_1p2,
WireHole_1p5,D99,WireHole_1p2,
WireHole_1p5,D36,WireHole_1p2,
Wire_Pad_01,D53,Wire_Hole_1mm,
Gnd,D72,Wire_Hole_1mm,
Wire_Pad_01,D100,Wire_Hole_1mm,
+5B,D66,WireHole_1p2,
Mounting_Hole_M2,U4,Hole_screw_M1p2,
WireHole_1p5,D3,WireHole_1p2,
Wire_Pad_01,D15,Wire_Hole_1mm,
Wire_Pad_01,D10,Wire_Hole_1mm,
t_Q,D76,WireHole_1p2,
WireHole_1p5,D1,WireHole_1p2,
WireHole_1p5,D55,WireHole_1p2,
U,D73,Wire_Hole_1mm,
Wire_Pad_01,D54,Wire_Hole_1mm,
WireHole_1p5,D19,WireHole_1p2,
Wire_Pad_01,D7,Wire_Hole_1mm,
U,D90,Wire_Hole_1mm,
Gnd,D52,Wire_Hole_1mm,
Wire_Pad_01,D106,Wire_Hole_1mm,
+5B,D74,WireHole_1p2,
Mounting_Hole_M2,U2,Hole_screw_M1p2,
t_Q,D64,WireHole_1p2,
WireHole_1p5,D18,WireHole_1p2,
GND,D94,WireHole_1p2,
+5B,D59,WireHole_1p2,
Wire_Pad_01,D6,Wire_Hole_1mm,
WireHole_1p5,D56,WireHole_1p2,
Mounting_Hole_M2,U5,Hole_screw_M1p2,
Wire_Pad_01,D103,Wire_Hole_1mm,
+5B,D84,WireHole_1p2,
Wire_Pad_01,D105,Wire_Hole_1mm,
Gnd,D87,WireHole_1p2,
t_IC,D60,WireHole_1p2,
CS_In,D70,Wire_Hole_1mm,
Mounting_Hole_M2,U24,Hole_screw_M1p2,
t_Q,D86,WireHole_1p2,
Mounting_Hole_M2,U26,Hole_screw_M1p2,
I,D91,Wire_Hole_1mm,
WireHole_1p5,D22,WireHole_1p2,
Gnd,D83,WireHole_1p2,
Gnd,D77,WireHole_1p2,
WireHole_1p5,D43,WireHole_1p2,
t LED,D93,WireHole_1p2,
t_D,D63,WireHole_1p2,
Gnd,D61,WireHole_1p2,
CS_Out,D88,Wire_Hole_1mm,
Wire_Pad_01,D9,Wire_Hole_1mm,
Wire_Pad_01,D16,Wire_Hole_1mm,
MCP9700AT-ETT,U19,SOT-23,
MCP9700AT-ETT,U16,SOT-23,
LED_Cree_XHP50_6V,D34,LED_Cree-XHP50_6V,
MCP9700AT-ETT,U15,SOT-23,
LED_Cree_XHP50_6V,D33,LED_Cree-XHP50_6V,
MCP9700AT-ETT,U10,SOT-23,
C,C55,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MCP9700AT-ETT,U20,SOT-23,
C,C54,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C,C52,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED_Cree_XHP50_6V,D35,LED_Cree-XHP50_6V,
C,C47,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MCP9700AT-ETT,U13,SOT-23,
MCP9700AT-ETT,U11,SOT-23,
LED_Cree_XHP50_6V,D48,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D26,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D24,LED_Cree-XHP50_6V,
MCP9700AT-ETT,U9,SOT-23,
LED_Cree_XHP50_6V,D31,LED_Cree-XHP50_6V,
C,C48,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED_Cree_XHP50_6V,D29,LED_Cree-XHP50_6V,
C,C53,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MCP9700AT-ETT,U17,SOT-23,
LED_Cree_XHP50_6V,D28,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D32,LED_Cree-XHP50_6V,
C,C50,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
MCP9700AT-ETT,U18,SOT-23,
LED_Cree_XHP50_6V,D25,LED_Cree-XHP50_6V,
MCP9700AT-ETT,U12,SOT-23,
C,C49,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C,C56,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED_Cree_XHP50_6V,D47,LED_Cree-XHP50_6V,
C,C57,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED_Cree_XHP50_6V,D27,LED_Cree-XHP50_6V,
C,C46,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
LED_Cree_XHP50_6V,D30,LED_Cree-XHP50_6V,
LED_Cree_XHP50_6V,D49,LED_Cree-XHP50_6V,
